record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,1.05,1.34,-0.29000000000000004,0.29000000000000004
trial_0019_bite_021_transfer,trial_0019_bite_021,trial_0019,transfer,1.48,1.77,-0.29000000000000004,0.29000000000000004
trial_0019_bite_021_withdrawal,trial_0019_bite_021,trial_0019,withdrawal,1.05,1.15,-0.09999999999999987,0.09999999999999987
trial_0019_bite_022_transfer,trial_0019_bite_022,trial_0019,transfer,1.48,1.39,0.09000000000000008,0.09000000000000008
trial_0019_bite_022_withdrawal,trial_0019_bite_022,trial_0019,withdrawal,1.05,1.07,-0.020000000000000018,0.020000000000000018
trial_0019_bite_023_transfer,trial_0019_bite_023,trial_0019,transfer,1.48,1.39,0.09000000000000008,0.09000000000000008
trial_0019_bite_023_withdrawal,trial_0019_bite_023,trial_0019,withdrawal,1.05,1.12,-0.07000000000000006,0.07000000000000006
trial_0019_bite_024_transfer,trial_0019_bite_024,trial_0019,transfer,1.48,1.5,-0.020000000000000018,0.020000000000000018
trial_0019_bite_024_withdrawal,trial_0019_bite_024,trial_0019,withdrawal,1.05,1.12,-0.07000000000000006,0.07000000000000006
trial_0019_bite_025_transfer,trial_0019_bite_025,trial_0019,transfer,1.48,2.83,-1.35,1.35
trial_0019_bite_025_withdrawal,trial_0019_bite_025,trial_0019,withdrawal,1.05,1.07,-0.020000000000000018,0.020000000000000018
trial_0019_bite_026_transfer,trial_0019_bite_026,trial_0019,transfer,1.48,1.48,0.0,0.0
trial_0019_bite_026_withdrawal,trial_0019_bite_026,trial_0019,withdrawal,1.05,1.19,-0.1399999999999999,0.1399999999999999
trial_0020_bite_001_transfer,trial_0020_bite_001,trial_0020,transfer,1.45,1.25,0.19999999999999996,0.19999999999999996
